Policy,Country,Year,Status,Jurisdiction,policy_url,Topics,Type,Sectors,Technologies,LearnMore,Policy_Content,Source
Climate Fund - Hydrogen production at sea,Netherlands,2025,In force,National,https://www.iea.org/policies/26399-climate-fund-hydrogen-production-at-sea,Fuels,Government spending in hydrogen,,,https://www.rvo.nl/onderwerpen/waterstof/waterstofproductie-op-zee/interessepeiling,EUR 380 million were earmarked to demonstrate offshore hydrogen production from wind. First tender for 30-50 MW of electrolysis with COD of 2030. Tender to be launched in Q1 2025. A future tender for a second demo project (with an additional budget) of 500 MW to be developed by 2033.,IEA
Climate Innovation Pull Facility (CIPF),United Kingdom,2025,In force,International,https://www.iea.org/policies/20789-climate-innovation-pull-facility-cipf,Technology R&D and innovation,Public procurement,,,https://www.contractsfinder.service.gov.uk/notice/15ec670f-716d-43cd-be0b-0976c3f7df6e,"Through pull finance, this facility will support innovation, scale up and market building for climate change mitigation solutions for developing country contexts, focusing on innovative clean energy technologies and business models in a small number of specific applications/sectors, where the evidence shows support is most needed. The planned facility is up to £185m, and subject to approvals. If agreed would be part of the Departments International Climate Finance portfolio and funded with Official Development Assistance (ODA).",IEA
Community Batteries Funding Round 2,Australia,2025,In force,National,https://www.iea.org/policies/26122-community-batteries-funding-round-2,Power,Government spending in storage,,,https://arena.gov.au/funding/community-batteries-funding-round-2/,The October 2022 Federal Budget provided $200 million for the Community Batteries for Household Solar budget measure to deploy 400 community batteries across Australia.On 2025 ARENA (Australian Renewable Energy Agency) has realised $46.3 million to deploy community batteries across Australia under Community Batteries Funding Round 2 of the Community Batteries Funding Initiative.,IEA
Current Incentives for Electric Mobility in the Megalopolis,Mexico,2025,In force,National,https://www.iea.org/policies/26748-current-incentives-for-electric-mobility-in-the-megalopolis,Transport,Government spending for low-emissions and efficient transport;Government spending in charging infrastructure,,,https://www.gob.mx/cms/uploads/attachment/file/832518/4.Incentivos_vigentes.pdf,"There are fiscal incentives to promote electric mobility, including exemptions on the importation of electric vehicles, as well as a tax credit equal to 30% of the investment made in charging equipment during the fiscal year, provided the chargers are permanently installed in public locations.",IEA
Cyber Security Law,Republic of Turkiye,2025,In force,National,https://www.iea.org/policies/26629-cyber-security-law,Economy-wide,Cybersecurity requirements for energy operators,,,https://mbkaya.com/siber-guvenlik-kanunu/,"The national cyber security strategy mentions that the energy sector is a critical infrastructure. The Act requires entities within its scope to implement security measures, conduct risk assessments, and promptly report vulnerabilities and cyber incidents to the Cyber Security Authority. Furthermore, the Act mandates compliance with standards and potential certification for cybersecurity products and services.",IEA
Cybersecurity Act,Hungary,2025,In force,National,https://www.iea.org/policies/26599-cybersecurity-act,Economy-wide,Cybersecurity requirements for energy operators,,,https://net.jogtar.hu/jogszabaly?docid=a2400069.tv,"The Hungarian Cyber Security Act mandates energy sector entities to implement comprehensive security measures, report significant incidents, and ensure supply chain security. Regular audits and compliance checks are required to maintain the security and resilience of energy services.",IEA
Cybersecurity Act,Finland,2025,In force,National,https://www.iea.org/policies/26595-cybersecurity-act,Economy-wide,Cybersecurity requirements for energy operators,,,https://finlex.fi/en/legislation/collection/2025/124,"The Act specifically lists various actors within the energy sector that fall under the scope of this law. Actors must manage cybersecurity risks by implementing proportionate technical, operational, and organizational measures and maintain an updated action model. They are also required to report significant incidents to the supervisory authority without delay and fulfill information obligations related to their cybersecurity practices.",IEA
Cybersecurity Act (Cybersäkerhetslagen),Sweden,2025,Announced,National,https://www.iea.org/policies/26653-cybersecurity-act-cybersakerhetslagen,Economy-wide,Cybersecurity requirements for energy operators,,,https://www.regeringen.se/contentassets/1e56bf5cad214fc78eb80d91c11cccb6/nya-regler-om-cybersakerhet-sou-202418.pdf,"Sweden Cybersecurity Act (Cybersäkerhetslagen) establishes a national framework to secure critical infrastructure and digital services, including energy services. This law will be updated to comply with the new EU directives in force, namely NIS2 and the CER Directive, to enhance resilience and security in line with European standards.",IEA
Decision No. 266/QD-TTg approving Global Coal-to-Clean Power Transition Statement,Viet Nam,2025,In force,National,https://www.iea.org/policies/26035-decision-no-266qd-ttg-approving-global-coal-to-clean-power-transition-statement,Power,Plan to phase-out unabated coal,,,https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Quyet-dinh-266-QD-TTg-2025-thuc-hien-Tuyen-bo-toan-cau-chuyen-doi-dien-than-sang-nang-luong-sach-643339.aspx,"The plan establishes targets and objectives to phase out coal for power generation split in three phases (2025- 2030;2031 - 2040;2041 - 2050), with the objective to decommissioning and using carbon capture for current installations.",IEA
"Decision to implement export controls on tungsten, tellurium, bismuth, molybdenum and indium related items",People's Republic of China,2025,In force,National,https://www.iea.org/policies/26795-decision-to-implement-export-controls-on-tungsten-tellurium-bismuth-molybdenum-and-indium-related-items,Critical Minerals,Export controls and restrictions,,,https://www.mofcom.gov.cn/zwgk/zcfb/art/2025/art_e623090907fc4e1092f0a4db72f57b95.html,"On February 4, 2025, the Ministry of Commerce and the General Administration of Customs of China announced the implementation of export controls on certain items through the Decision No. 10 of 2025. This decision is based on several existing Chinese laws and regulations, including the Export Control Law, Foreign Trade Law, Customs Law and Regulations on the Export Control of Dual-Use Items. The aim is to safeguard national security and fulfill international non-proliferation obligations.The controlled items include specific materials and technologies related to tungsten, tellurium, bismuth, molybdenum and indium. Exporters of these items must apply for permission from the relevant authorities. The complete list of materials subject to the controls is as follows:Tungsten-related itemsTellurium-related itemsBismuth-related itemsMetal bismuth and productsMolybdenum-related itemsIndium-related items",IEA
Decree 46/2025 on Import Rights,Argentina,2025,In force,National,https://www.iea.org/policies/26561-decree-462025-on-import-rights,Transport,Tariffs and duties,,,https://www.argentina.gob.ar/normativa/nacional/decreto-49-2025-408925,"The decree establishes a tariff exemption for an annually fixed quota of electric and plug-in hybrid vehicles. To apply for the exemption, the cost of the vehicle must be less than $16,000 USD (at FOB value). The maximum number of vehicles that can benefit from this is 50,000 each year.",IEA
Decree No. 1529.24 on energy labels and minimum energy performance standards of air conditioners,Morocco,2025,In force,National,https://www.iea.org/policies/25896-decree-no-152924-on-energy-labels-and-minimum-energy-performance-standards-of-air-conditioners,Buildings,Minimum Energy Performance Standards (MEPS),,,https://www.amee.ma/fr/node/1510,"Morocco updated its air conditioners Minimum Energy Performance Standards (MEPS), set to be in force in March 2025.",IEA
Decree No. 1530.24 on energy labels and minimum energy performance standards of industrial motors,Morocco,2025,In force,National,https://www.iea.org/policies/25897-decree-no-153024-on-energy-labels-and-minimum-energy-performance-standards-of-industrial-motors,Industry,Minimum Energy Performance Standards (MEPS),,,https://www.amee.ma/fr/node/1510,"Morocco updated its Minimum Energy Performance Standards (MEPS) for industrial motors, set to be in force in March 2025.",IEA
Decree No. 341.K/EK.01/MEM.E/2024 on biodiesel B40 mandate,Indonesia,2025,In force,National,https://www.iea.org/policies/26046-decree-no-341kek01meme2024-on-biodiesel-b40-mandate,Transport,Biofuel blending mandate,,,https://www.esdm.go.id/id/media-center/arsip-berita/wujudkan-ketahanan-energi-dan-kurangi-impor-menteri-esdm-mandatori-b40-berlaku-1-januari-2025,"This decree sets the biodiesel blending mandate to 40% (B40) starting January 1, 2025.",IEA
Decree for thermal renewable energy auctions,Italy,2025,Announced,National,https://www.iea.org/policies/27050-decree-for-thermal-renewable-energy-auctions,Power,Government spending in low-carbon electricity,,,https://www.mase.gov.it/portale/documents/d/guest/2025-02-25_aste_termiche_doc_consultazione-pdf,"The ministerial decree promotes renewable thermal energy plants through competitive auctions. It offers financial incentives such as fixed tariffs or premiums, subsidies, and green certificates to support the development of technologies like biomass, geothermal, and solar thermal.",IEA
